"Slot","Name","Cost","Color","Melee/Ranged","Type","Subtype","Effectiveness (0-4 = common, 5-8 = uncommon, 9-10 = rare)","Rules","Flavor","Attack Power","Health","Image","Artist","Notes",,"Name Size","Subtype Size","Has PH","Color Calculator","Iconified Cost","Iconified Rules","Italicized Type","Setted Slot",,
"R_CMDR_1b","Lux's Quest","1RR",#NAME?,,"R. Effect","<u>Personal</u>","9","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Choose an asset; permanently gain control of it.</p><p><u>Personal</u> (Shuffle <i>'Lexi 'Lux' Xenos, Beacon's Captain'</i> into your deck.)</p>","""My first time in space a couple of Briggs's boys passed me around in the hold. You know what she did about it? Got a promotion for doing nothing! Let's see how she feels when her world comes crashing down around her!"" <p>-- Capt. Lux</p>",,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_R_CMDR_1b",,
"RR_001","Lina Pathak, Beacon's Head Technician","3R",#NAME?,"Melee","R. Asset","Augmented Female Beacon Pirate Engineer","10","<center>(Becomes <i>'Lina's Tinkering'</i> if you already control ~.)<br/><u>Warrant</u> (When ~@ enters the battlefield, shuffle an 'Incarceration' into your deck.)</center><p>Whenever you gain control of an asset an opponent controls, shuffle a <i>Prototype Tractor Beam'</i> into your deck.</p>","""Every member of Lux's crew was beaten down by society in some way.. Like Tesla I am a man too brilliant for my time.""",2,8,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Asset[/i]","RT_RR_001",,
"RR_001b","Lina's Tinkering","3R",#NAME?,,"R. Effect","<u>Personal</u> Experiment","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Choose a non-combatant asset in your hand or on the battlefield and another in your discard pile; swap them.</p><p><u>Personal</u> (Shuffle <i>'Lina Pathak, Beacon's Head Technician'</i> into your deck.)</p>",,,,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_RR_001b",,
"RR_002","Prototype Tractor Beam","1RR",#NAME?,,"R. Asset","Equipment Beacon","10","When ~ enters the battlefield, choose a combatant to attach it to.<p>The attached asset gains <u>sluggish</u> (The specified asset deals combat damage after assets without sluggish.), ranged, and ""whenever this asset deals combat damage to a commander, gain control of an asset that commander's controller controls with <u>generalized cost</u> less than or equal to this asset's attack power, then <u>forfeit</u> ~.""</p>","""It's really just a powerful magnet.. but the lights make it look really cool!"" <p>-- Cristina Gilca</p>",,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Asset[/i]","RT_RR_002",,
"RR_003","Commandeer","3RR",#NAME?,,"R. Effect",,"10","<center>(This effect can only be deployed if you control a renowned asset. )<br/><u>Warrant</u> (When you deploy ~, shuffle an 'Incarceration' into your deck.)</center><p>Choose an asset or generator; permanently gain control of it.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_RR_003",,
"RR_004","Mechanized Martial Arts","2RR",#NAME?,,"Effect",,"10","<center><u>Warrant</u> (When you deploy ~, shuffle an 'Incarceration' into your deck.)</center><p>Choose one:<ul>Choose a combatant; kill it.<br/>Choose a combatant; its owner <u>forfeits</u> (Put the specified assets into their owners' discard piles.) all equipment attached to it (tradeable can't be activated in response to this effect.)</ul></p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RR_004",,
"RU_001","Cripple","3R",#NAME?,,"Effect","<u>Response</u>","6","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>Choose an asset; it permanently gains <u>sluggish</u> (The specified asset deals combat damage after assets without sluggish.) and -4/-4.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RU_001",,
"RU_002","Interceptor","1R",#NAME?,"Melee","Asset","<u>Vehicle</u> <u>Spacecraft</u>","6","<center><u>Vehicle</u> (When ~ enters the battlefield, you may choose another asset to attach it to. The combined unit has all effects of both assets, and the highest attack power, health, and ranged status of the two.), <u>Spacecraft</u> (Space Shuttle can only intercept or be intercepted by assets with spacecraft.)</center><p>When ~ enters the battlefield, you may attach a <i>'Prototype Tractor Beam'</i> you control to it.</p>",,5,1,,,,,60,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_002",,
"RU_003","Petty Thief","2R",#NAME?,"Ranged","Asset","Human Female Beacon Pirate","5","<u>Once</u> (As you activate this effect, remove it from this card): put the bottom card of your opponent's deck into your hand.",,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_003",,
"RU_004","Beacon Loyalist","3RR",#NAME?,"Ranged","Asset","Human Beacon Pirate","4","Whenever a combatant an opponent owns comes under your control, until end of turn, pirates you control become 6/6s.",,4,4,,,,,45,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_004",,
"RU_005","Two Weeks Since the Last Haul","2R",#NAME?,,"Asset","Latent","5","<p>At the beginning of your upkeep, until ~ leaves the battlefield, combatants you control permanently get -1/-1.</p>","""11/12/82: Pushing a fortnight since the last ship came in. Stomach has been growling all day, they cut each of our portions again. SO HUNGRY!!!"" <p>-- Bunny's Diary</p>",,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_005",,
"RU_006","Resourceful Hostage","1RR",#NAME?,"Ranged","Asset","Augmented Pirate Beacon Hostage","5","Give an opponent ~: Draw 2 cards (this effect can only be activated during your deployment phases.)",,4,4,,,,,50,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_006",,
"RU_007","Exchange Volunteer","2R",#NAME?,"Ranged","Asset","Human Male Pirate Beacon Hostage","5","Give an opponent ~: Choose a Pirate that opponent controls; gain control of it (this effect can only be activated during your deployment phases.)",,4,4,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_007",,
"RU_008","Sacrificial Hostage","1R",#NAME?,"Ranged","Asset","Human Pirate Beacon Hostage","5","Give an opponent ~: You may choose a card you control; return it to your hand.",,4,4,,,,,50,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_008",,
"RC_001","Beacon Crew-woman","2R",#NAME?,"Ranged","Asset","Human Female Beacon Pirate","2","<center><u>Armed -- 'Pirate Suit'</u> (~ enters the battlefield with a transient <i>'Pirate Suit'</i> attached to it.)</center>",,4,4,,,,,60,36,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_001",,
"RC_002","Backstabbing Hostage","3R",#NAME?,"Melee","Asset","Human Pirate Beacon Hostage",2,"[T], Give an opponent ~: Choose a combatant that opponent controls; until end of turn, it gets -4/-4.",,3,4,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_002",,
"RC_003","Lethal Hostage","2RR",#NAME?,"Ranged","Asset","Human Pirate Beacon Hostage","4","Give an opponent ~: Choose a combatant that opponent controls; it permanently gains <u>bleeding</u> (At the end of their owner's turn the specified asset permanently loses 1 health.)",,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_003",,
"RC_004","Daring Hostage","3R",#NAME?,"Melee","Asset","Augmented Pirate Beacon Hostage","4","Give an opponent ~: That opponent chooses 2 cards in their hand; Those cards are put into your hand (if they have less than 2 cards in hand, instead they give you their hand.)",,3,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_004",,
"RC_005","Occupational Hazards","1R",#NAME?,,"Asset","Latent Tragedy","5","<p>When you draw ~, put it into play.</p><p>When you gain control of ~, <u>forfeit</u> (Put the specified card into its owner's discard pile.) a combatant you control.</p>","""6/8/82: Char bumped the ship we were trying to capture today a little too hard. The worst part about space is it's so hard to recover the bodies."" <p>-- Bunny's Diary.</p>",,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_005",,
"RC_006","Beacon Defector","1RR",#NAME?,"Melee","Asset","Human Female Beacon Pirate","1","Whenever a pirate comes under an opponent's control, your commander loses 1 loyalty.",,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_006",,
"RC_007","Hostage Negotiator","1RR",#NAME?,"Melee","Asset","Augmented Beacon Pirate","1","<center>[R], Choose a pirate you control: Give it to an opponent.</center>",,4,4,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_007",,
"RC_008","Lina's Recruiter","1RR",#NAME?,"Melee","Asset","Human Female Beacon Pirate","3","<center><u>Brainwash</u> (Damage dealt by ~ is gained as loyalty.)</center>",,6,6,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_008",,
"RC_009","Hinder","R",#NAME?,,"Effect","<u>Response</u>","1","<center><u>Response</u> (You may deploy ~ in response to other cards and effects.)</center><p>Choose a player; they discard a card.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RC_009",,
"RC_010","Beacon Avenger","1R",#NAME?,"Ranged","Asset","Human Beacon Pirate","4","<center>When ~ dies, each player discards a card.</center>",,4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_010",,
"RC_011","RC_011",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_RC_011",,
"RC_012","RC_012",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_RC_012",,
"R_CMDR_2","Bing Du Zhe, Unhinged Researcher","2RR",#NAME?,"Ranged","Commander","Augmented Female Civilian Scientist","9","<center>(Becomes <i>'Frantic Research'</i> if you already control Bing.)</center><p><b><i>As Commander</i> --</b> At the beginning of your turn, if you have no cards in hand, draw an additional card, then ~@ loses 1 loyalty.</p><p><b><i>As Asset</i> --</b> <u>Forfeit X</u> (X is the generalized cost of the card to be returned.) non-<u>Transient</u> assets you control which share a type with an asset of your choice in your discard pile: Return that asset from your discard pile to the battlefield, it becomes an Augmented Mutant.</p>","""Anything can be put back together! Anything!""",7,7,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_R_CMDR_2",,
"R_CMDR_2b","Frantic Research","2R",#NAME?,,"R. Effect","<u>Personal</u>","0","<center>(This effect can only be deployed if you control a renowned asset.)</center><p>Draw the bottom <u>X</u> (X is the damage your commander has taken this turn.) cards of your deck.</p><p><u>Personal</u> (Shuffle <i>'Bing Du Zhe, Unhinged Researcher'</i> into your deck.)</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_R_CMDR_2b",,
"RR_005","Rampaging Monstrosity","3RR",#NAME?,"Melee","R. Asset","Mutant Subject","10","<center>(If you obtain another card with the same name as ~, you must choose one to keep and another to send to its owner's discard pile. Becomes <i>'Rampager's Fury'</i> if you already control ~.)<br/><u>Permanence</u></center><p>Whenever ~ attacks it deals 1 damage to each other asset that attacked this turn, then choose a commander to lose <u>X</u> (X is the damage dealt this way) loyalty.</p>",,7,4,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Asset[/i]","RT_RR_005",,
"RR_005b","Rampager's Fury","2R",#NAME?,,"R. Effect","<u>Personal</u> <u>Response</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Each asset that attacked this turn permanently gains <u>bleeding</u> (At the end of their owner's turns the specified assets permanently lose 1 health.)</p><p><u>Personal</u> (Shuffle <i>'Rampaging Monstrosity'</i> into your deck.)</p>",,,,,,,,60,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_RR_005b",,
"RR_006","Monstrous Experiment","1RR",#NAME?,,"Asset","<u>Discovery</u> Experiment",9,"<center>(When ~ enters the battlefield or at the beginning of your turn, progress to the next phase unless the final phase has been reached.)</center><p><b><i>1)</i></b> Each player <u>forfeits</u> a combatant.</p><p><b><i>2)</i></b> Create a <u>transient</u> <i>'Test Subject'</i> in your hand.</p><p><b><i>Final)</i></b> Create a <u>fleeting</u>, <u>transient</u> <i>'Mortal Reaction'</i> in your hand.</p>",,,,,,,,45,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RR_006",,
"RR_007","Perverted Equilibrium","2R",#NAME?,,"Effect",,"9","Choose a combatant; its attack power and health both permanently become the lower of two. (This is not a continuous effect.)","""Balanced as all things should be."" ~ Anonymous Test Subject ",,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RR_007",,
"RR_008","Subject Cage","1RR",#NAME?,,"Asset","Prison","9","When ~ enters the battlefield, attach it to a combatant of your choice.<p>The attached combatant can't attack or intercept and has <u>bleeding</u> (At the end of their owner's turns the specified assets permanently lose 1 health.)</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RR_008",,
"RU_009","Infect the Strong","4RRR",#NAME?,,"Effect",,"10","<p>Each individual combatant permanently gets <u>-X/-X</u> (X is its attack power.)</p><p>Each opponent <u>decays 4</u> (The specified players put the top 4 cards of their deck into their discard pile.)</p><p>Your commander loses 3 loyalty.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RU_009",,
"RU_010","Stockholm Experiment","1RR",#NAME?,,"Effect","Experiment","5","Choose a combatant; it permanently gets -3/-3.<p>Your commander gains 3 loyalty.</p>",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RU_010",,
"RU_011","Weaponized Disease","R",#NAME?,,"Asset","Bioweapon",5,"<center><u>Warrant</u> (When you deploy ~, shuffle an 'Incarceration' into your deck.)</center><p><u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~, [1] or [2]: Choose [1] or [2]:<ul>Each player's commander loses 3 loyalty.<br/>Each player discards a card in their hand.<br/>Each player <u>forfeits</u> a generator they control.<br/>Each player <u>forfeits</u> an asset they control.</ul></p>",,,,,,,,50,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_011",,
"RU_012","Entropy","XXR",#NAME?,,"Effect","Trap <u>Response</u>","5","<p>Choose an opponent, ~ costs [2] less for every card that opponent has drawn this turn.</p><p>That opponent <u>decays [X]</u> (The specified player puts the top X cards of their deck into their discard pile.)</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RU_012",,
"RU_013","Infection Carrier","RR",#NAME?,"Melee","Asset","Human Subject","6","<u>Once</u> (As you activate this effect, remove it from this card): each player <u>forfeits</u> (Put the specified card into its owner's discard pile.) a combatant they control.",,1,2,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_013",,
"RU_014","Failed Experiment","1R",#NAME?,"Melee","Asset","Mutant Subject Experiment","6","<center><u>Permanence</u> (Damage ~ deals permanently reduces the health of the assets which it damages.)</center>",,3,3,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_014",,
"RU_015","Questionable Intern","2R",#NAME?,"Ranged","Asset","Human Civilian Intern","5","<center><u>Permanence</u> (Damage ~ deals permanently reduces the health of the assets which it damages.), <u>Quick Hire</u> (When ~ is hired as a generator, it can utilize as soon as it is hired.)</center><p>[T]: Add [R].</p><p>[2][R][R], [T]: Your commander loses <u>X</u> (X is the number of cards in your hand.) loyalty. Draw a card.</p>",,2,4,,,,,50,40,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_015",,
"RU_016","Plague Engineer","RRR",#NAME?,"Melee","Asset","Augmented Male Civilian Scientist","5","<center><u>Permanence</u> (Damage ~ deals permanently reduces the health of the assets which it damages.), <u>Warrant</u> (When you deploy ~, shuffle an 'Incarceration' into your deck.)</center><p>When ~ enters the battlefield, create a <u>transient</u> (If it would enter a discard pile, instead remove it from the game.) <i>'Engineered Plague'</i> in your hand.</p>",,2,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RU_016",,
"RC_013","Test Subject","1R",#NAME?,"Melee","Asset","Mutant Subject","4","<center><u>Retribution</u> (When you draw ~ as a result of taking damage, you may deploy it without paying its cost.)</center><p>At the beginning of your turn, ~ permanently gets +1/+1.</p>",,1,1,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_013",,
"RC_014","Reduce","R",#NAME?,,"Effect","<u>Response</u>","5","Each player <u>decays the bottom 5 cards of their deck</u> (They put the bottom 5 cards of their deck into their discard pile.)",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RC_014",,
"RC_015","Engineered Plague","1R",#NAME?,,"Effect",,"2","<center>~ costs [1] less to deploy if you didn't go first.</center><p>Choose a combatant; until end of turn, it gets <u>-X/-X</u> (X is 1 plus the number of cards named ~ that have been deployed this game.)</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RC_015",,
"RC_016","Forced Autoimmune Reaction","1RR",#NAME?,,"Effect","Experiment","3","Choose a combatant; until end of turn, it gets <u>-X/-X</u> (X is its attack power.)",,,,,,,,45,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RC_016",,
"RC_017","Mortal Reaction","R",#NAME?,,"Effect","Experiment","5","<center><u>Append to Experiment [R][R]</u> (As you deploy a card with Experiment you may reveal ~ and pay [R][R]. If you do, add this card's effects as it resolves.)</center><p>Choose a combatant, and activate any of its on death effects.</p>",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RC_017",,
"RC_018","Adrenochrome","R",#NAME?,,"Asset","Drug","5","<u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~: Choose an asset; it permanently gets <u>+X/+X</u> (X is the number of combatants ~ has seen die while it was on the battlefield.)",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_018",,
"RC_019","Office Worker","1R",#NAME?,"Melee","Asset","Human Civilian","1",,,4,4,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_019",,
"RC_020","Prototype Catgirl","1RR",#NAME?,"Melee","Asset","Human Cat Mutant Female Subject","1","<center><u>Permanence</u> (Damage ~ deals permanently reduces the health of the assets which it damages.)</center>","""How are you doing Mao?"" ""My head still hurts from all the echos...""",4,4,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_020",,
"RC_021","Frantic Fury","1RY",#NAME?,,"Effect","Emotion","4","Choose a combatant; for the remainder of the game, at the beginning of each of your turns, it permanently gets +1/-1.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_RC_021",,
"RC_022","Dumpster Diver","R",#NAME?,"Melee","Asset","Human Civilian","3","While you have 10 or more cards in your discard pile, ~ gets +5/+5.",,1,2,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_RC_022",,
"RC_023","RC_023",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_RC_023",,
"RC_024","RC_024",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_RC_024",,
"O_CMDR_1","Samuel Reid, Political Dissident","OOO",#NAME?,"Melee","Commander","Augmented Male Delta Politician","9","<center>(Becomes <i>'Samuel, Falsify their Orders'</i> if you already control ~.)<br/><u>Pierce</u>,<u>Warrant</u></center><p><b><i>As Commander</i> --</b> Whenever an asset enters the battlefield, you may pay [1][O]. If you do it permanently gains <u>pierce</u>, <u>reckless</u>, and ranged. Then create a <u>transient</u>, <u>fleeting</u> <i>'Lead by Example'</i> in your hand.</p>","""..and like a cancer it must be removed.""",10,6,,,"Flavor linked with Quinton Anon",,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Commander[/i]","RT_O_CMDR_1",,
"O_CMDR_1b","Samuel, Falsify their Orders","3OO",#NAME?,,"R. Effect","<u>Personal</u> <u>Response</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>The player whose turn it is must attack with all of their combatants capable of attacking this turn.</p><p><u>Personal</u> (Shuffle <i>'Samuel Reid, Political Dissident'</i> into your deck.)</p>",,,,,,,,45,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_O_CMDR_1b",,
"OR_001","Christen Frisk, Delta Commander","4OOO",#NAME?,"Melee","R. Asset","Augmented Female Delta Operative","9","<center>(If you obtain another card with the same name as ~@, you must choose one to keep and another to send to its owner's discard pile.  Becomes <i>'Remember the Plan!'</i> if you already control ~@.)<br/><u>Reckless</u> (~@ can't intercept.)</center><p>After your opponent attacks, you may attack.</p>",,13,7,,,,,45,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Asset[/i]","RT_OR_001",,
"OR_001b","Remember the Plan!","3O",#NAME?,,"R. Effect","<u>Personal</u> <u>Response</u>","0","<center>(This effect can only be deployed if you control a renowned asset. )</center><p>Refresh all combatants you control.</p><p><u>Personal</u> (Shuffle <i>'Christen Frisk, Delta Commander'</i> into your deck.)</p>",,,,,,,,50,45,#NAME?,#NAME?,#NAME?,#NAME?,"[i]R. Effect[/i]","RT_OR_001b",,
"OR_002","Arms Runner","3OO",#NAME?,"Ranged","Asset","Augmented Male Civilian Rebel","9","<center><u>Armed -- 'Fully Automatic Assault Rifle'</u> (~ enters the battlefield with a transient <i>'Fully Automatic Assault Rifle'</i> attached to it.)</center><p><i>Strength in Numbers</i> -- Whenever ~ attacks, choose another combatant; that combatant attacks with ~. Until end of turn, that combatant gets +2/+2 and ranged.</p><p>If that combatant has <i>Strength in Numbers</i> its chosen asset gets +2/+2 and ranged as well, repeat this process until there are no more unique combatants.</p>",,3,6,,,,,60,35,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Asset[/i]","RT_OR_002",,
"OR_003","Tale of Courage","XO",#NAME?,,"Effect",,"9","Choose a combatant with <u>generalized cost</u> (The cost of the card if all typed symbols were replaced with generic numbers. Ex Tale of Courage has a generalized cost of [1] + [X].) [X] or less; it permanently becomes Renowned.",,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i]Effect[/i]","RT_OR_003",,
"OR_004","OR_004",,#NAME?,,,,,,,,,,,,,60,50,#NAME?,#NAME?,#NAME?,#NAME?,"[i][/i]","RT_OR_004",,
