Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
LXI.M3,Fawning Bar Babe,1,M,Melee,Asset,Human Female Citizen,,<u>Rush</u> (~ can attack without waiting for her deployment period.),"""*giggles* so you're a pilot huh?""",1.0,1.0,,,
LXI.M4,Linus Rau٫ Spacecorp Cadet,1,M,Melee,R. Asset,Human Male Spacecorp Recruit,,(Becomes `Tales of a Hotshot Pilot` if you already control ~@.)\n<u>Rush</u> (~ can attack without waiting for his deployment period.)\n~ enters with a <u>Transient</u> `Fawning Bar Babe`.\nIf you control an <u>Explicitly Female</u> (It must say Female in its type) asset ~@ gets +2/+2.,"""You know Linus you coulda come to my dorm last night instead٫ you know Lexi's not a snitch...""\n""But you were so busy putting out a fire! I couldn't interrupt! And besides Lexi's a prude...""\n""Your a pig Linus Rau you know that?""\n""And your a beauty Lina Pathak٫ you know that?""",2.0,1.0,,,
LXI.M4b,Tales of a Hotshot Pilot,3,2MMM,,R. Effect,<u>Personal</u> <u>Response</u>,0.0,<u>Response</u> (You may deploy ~ during response windows.)\nChoose up to two Female assets to gain control of until the end of their owners' next turn.\n<u>Personal</u> (Shuffle `Linus Rau٫ Spacecorp Cadet` back into your deck.),"""Did you hear? Not one but two girls came out of Linus' dorm this morning٫ his CO was furious!""",,,,,
LXI.M5,Shay Bowen٫ Spacecorp Cadet,1,MI,Melee,R. Asset,Human Male Spacecorp Fulldiver Recruit,,(Becomes `Tales of a Stoic Diver` if you already control ~@.)\n<u>Armed -- `Military Grade Pilot Interface`</u> (~ enters with a `Military Grade Pilot Interface` attached.)\n~ can be utilized without waiting for his deployment period.\nWhenever ~ <u>Remote Control</u>s an asset٫ until end of turn٫ it gets +2/+2 and <u>Rush</u>.\nWhenever you gain control of a Female asset shuffle a `Blackmail` into your deck unless an opponent lets you draw a card.,There are cameras hidden everywhere and Shay knew how to use them... he even managed to install a few more of his own.,1.0,1.0,,,
LXI.M5b,Tales of a Stoic Diver,2,MMMM,,R. Effect,<u>Personal</u> <u>Response</u>,,<u>Response</u> (You may deploy ~ during response windows.)\nChoose an asset engaged in combat to set aside until end of turn.\n<u>Personal</u> (Shuffle `Shay Bowen٫ Spacecorp Cadet` back into your deck.),Somehow whenever Linus performed one of his escapades his roommate was nowhere to be seen.,,,,,
LXI.G2,Spacecorp Cadet,1,M,Melee,Asset,Human Male Female Spacecorp Recruit,,,"""...I swear to boldly go where no person has gone before. I swear to acquire knowledge for the betterment of all mankind...""",2.0,2.0,,,
LXI.M6,Caught All Three,1,M,,Effect,,,Choose one <u>Explicitly Male</u> and two different <u>Explicitly Female</u> assets at least one of which you control.\nChoose one of the Female assets to٫ until end of turn٫ gain <u>Fear</u> (The chosen asset losses all other effects.)\nThe other two assets get +2/-1 as long as they both remain on the battlefield.,"""You three... my office... right now...",,,,,
LXI.M7,Far Side Deployment,3,3MM,,Effect,<u>Response</u>,,Choose up to three assets to gain <u>Fear</u> (The chosen assets loose all other effects.) until end of turn.\nCreate a <u>Transient</u> `Space Shuttle`. <u>Forfeit</u> (The specified card's owner puts it into their discard pile.) it after it engages in combat.,"...Since you three seam to be such good friends٫ I'll put in a good word to have you deployed together... somewhere your antics won't cause trouble!"" ~Yuki Norimoto٫ Enforcement Officer Female Dormitory Block 4",,,,,
LXI.M8,Space Tether,3,3MM,Melee,Asset,Spacecorp <u>Spacecraft</u>,,<u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)\n<u>Unresponsive</u> (This effect can't be activated during response windows)٫ [T]: Choose a card on the battlefield٫ set it aside then return it to the battlefield at the end of the turn. You have a 25% chance to <u>Forfeit</u> (The specified card's owner puts it into their discard pile.) that card.,Tethers act as batteries for kinetic energy. Spending some to slingshot ships to the far corners of the solar system; gaining some when an incoming ship arrives.,0.0,5.0,,,
LXI.M9,Crash Landing,5,7MMM,,Effect,,,<u>Forfeit</u> (Put the specified card into its owner's discard.) any number of assets you control: Choose an asset to take X (X is the forfeit assets' attack power.) damage.,On Linus' first day on Station 27 he crashed a miner into the landing dock.,,,,,
LXI.M10,Set Fire to the Generator Room,4,5MMM,,Effect,<u>Response</u>,,Choose a generator٫ its owner <u>forfeits</u> (Put the specified card into its owner's discard.) it.\nThere is a 50% chance you <u>forfeit</u> (Put the specified card into its owner's discard.) a random generator you control.,On Lina's first day on Station 27 she almost took down power on the whole station.,,,,,
LXI.M11,Botched Stitching,2,1MM,,Effect,<u>Response</u> Surgery,,<u>Prepare 2 -- [M]</u> (Pay [M] and put ~ into your deck second from the top. When you would draw ~٫ instead deploy it without paying its cost.)\nDraw 2 cards٫ then discard a card at random.,On Lexi's first day on Station 27٫ for the first time in her life٫ she botched a surgery.,,,,,
LXI.M12,Miner with Unstable Rockets,3,MMMMMM,Melee,Asset,Miner Spacecorp <u>Spacecraft</u>,,<u>Spacecraft</u> (~ can only intercept or be intercepted by assets with spacecraft.)\nWhenever ~ attacks٫ you have a 50% chance to discard a card at random.,Out past the asteroid belt your alone٫ Earth is 30 minutes away by radio. Other stations are at least 2 or 3. And both of the girls on the station hate you... whats a man to do?,2.0,2.0,,,
LXI.M13,Wasted Pilot,2,2M,Melee,Asset,Human Male Spacecorp,,At the beginning of each turn ~ gets +1/-1 or -1/+1 at random. This effect can't reduce its health below 1.,"""Got the worst post in this whole solar system... no no I'm.... fine...""",2.0,2.0,,,
LXI.M14,Reprobate Mechanic,3,2MMM,Melee,Asset,Human Male Spacecorp Engineer,,<u>Armed -- `Ballistic Pistol`</u> (~ enters with a `Ballistic Pistol` attached.)\nIf an opponent's commander would lose morale outside of combat٫ it loses that much morale +1 instead.,"""Being alone out here has a way of getting to your head."" ~Jerry٫ Station 27's Mechanic",2.0,2.0,,,
LXI.M15,Stacked Deck,2,MMMM,,Effect,<u>Response</u>,,<u>Advantageous</u> (When ~ resolves٫ draw a card.)\nChoose a card on the stack٫ replace it with the top card of its controller's deck.,"""I've never lost a fair game..."" ~Seth٫ Station 27's Cook",,,,,
LXI.M16,Mulligan,3,4M,,Effect,Trap <u>Response</u>,,If an opponent searched their deck for a card this turn٫ ~ costs [M] less.\nEach player shuffles their hand into their deck٫ then draws that many cards plus one.,Lina quickly became one of the boys٫ after she became a regular at the nightly card tournaments.,,,,,
LXI.G3,Shuffle,1,1,,Effect,,,~ costs [1] less if you didn't go first.\nChoose a commander٫ its owner shuffles their deck.,Lexi tried joining Lina and the others for cards a few times... every time she found the rampant cheating distasteful.,,,,,
LXI.M17,Lucas' Ultimate Prize,3 / 2 / 3,M+,,Effect,<u>Decision</u>,,<u>Decision</u>٫ You may only deploy ~ if a Lux card is on the battlefield.\n-> <u>Get Wasted -- [4][+]</u> Choose any number of Male assets٫ they each permanently get +1/-1 or -1/+1 at random. -> <u>Pin Down -- [M][M][M][+]</u> Choose a Female asset to٫ until end of turn٫ gain <u>Fear</u>.\n-> <u>Take Turns -- [M][M][M][M][+]</u> Choose an asset to take 1 damage from each other asset chosen by ~. Double this damage if that asset has <u>Fear</u>.,Lexi followed protocol٫ still crying٫ she reported what had happened...,,,,,
LXI.MI1,The Next Day It Happened Again,5/3,4M+,,Effect,<u>Decision</u>,,<u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made.)\n-> <u>Do It Again -- [M][M][M][I][I][+]</u> Choose an effect that was put into your discard last turn. Deploy it without paying its cost.\n-> <u>Get Far Away --[1][+]</u> Create a `Space Shuttle`. <u>Forfeit</u> (The specified card's owner puts it into their discard pile.) it after it engages in combat.,Tears running down her cheeks Lexi launched the station's primary shuttle. By taking it she would easily outpace anyone who tried to follow.,,,,,
LXI.NM1,Girlfriend Court Marshal,4,NNMMMM\nNN,,R. Effect,,,You may only deploy ~ if you control a Female renowned asset.\nAs an additional cost to deploy ~٫ <u>Forfeit</u> (Put the specified card into its owner's discard.) a Generator you control.\nChoose a combatant to be <u>Forfeit</u> by its owner.\nYour commander gains 3 <u>Injury</u> (Whenever it would gain morale it instead removes Injury first.).,"""It's not my fault the generator blew up while Lucas was helping me fix it."" ~Lina Pathak",,,,,
