Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
MAO.NV1,Oryctoline Genetic Material,2,NNVV,,R. Asset,Mutant Drug,,(Becomes `Ursine Genetic Material` if you already control ~.)\n[T]٫ <u>Forfeit</u> ~: Choose a combatant on the stack to enter with a 0/1٫ <u>Transient</u> copy of itself and both are Female Rabbit Mutants.\nAfter either of those assets have attacked twice they both permanently gain <u>Sluggish</u>.\nAfter either of those assets have attacked five times <u>Forfeit</u> them both.,"""Oryctoline material had the disturbing effect of causing Tuzi 1 to be born pregnant. Complications with Tuzi 2's birth and their subsequent inability to care for eachother caused them both to die quickly. I recommend Oryctoline material be avoided at all costs."" ~Min's Research Notes",,,,,
MAO.NV2,Ursine Genetic Material,3,3NV,,Asset,Mutant Drug,,[T]٫ <u>Forfeit</u> ~: Choose an asset on the stack to permanently gain +3/+3 and be a Bear Mutant.\nAfter that asset has attacked twice it permanently gains <u>Sluggish</u> (That asset deals damage after other combatants.)\nAfter that asset has attacked five times <u>Forfeit</u> (The specified asset's owner puts it into their discard pile.) it.,"""Ursine material appears to cause abnormal strength. Just like Xiong 1٫ Xiong 2 has no fat٫ his tiny body appears to be all muscle."" ~Min's Research Notes",,,,,
MAO.NV3,Xiong 2,1,NV,Melee,R. Asset,Human Male Mutant Bear Child,,(Becomes a blank card if you already control ~.)\n<u>Bleeding</u> (At the end of your turn ~ permanently loses 1 health.)\n~ gains all effects (including Personal Effect) of the first non Mutant Renowned Asset he sees enter.\nWhen ~ dies you may search your deck for a card٫ hire it as a generator٫ then shuffle.,"""Today Xiong 2 passed away٫ he was my sweetest child so far. I'm close! I can feel it! Perhaps ursine material can be used to stabilize the others?"" ~Min's Research Notes",3.0,3.0,,,
MAO.N7,Weaponized Disease,1,NN,,Asset,Bioweapon,,<u>Warrant</u> (When you deploy ~٫ shuffle an 'Incarceration' into your deck.)\n<u>Forfeit</u> (Put the specified card into its owner's discard pile.) ~٫ [X]: Choose [X]:\n-> Each player's commander loses 3 morale.\n-> Each player discards a card in their hand.\n-> Each player <u>forfeits</u> a generator they control.\n-> Each player <u>forfeits</u> an asset they control.,Many of Min's experiments while worthless to her were quite valuable to those around her... turns out keeping an entire ovary's worth of embryos alive isn't cheap.,,,,,
MAO.G1,Prototype Dogboy,2,3,Melee,Asset,Human Male Mutant Dog Child,,<u>Rush</u> (~ can attack without waiting for his deployment period.),"""Subject is incapable of speech and does not respond to education. Hopefully further specimens will be more successful."" ~Min's Research Notes",2.0,3.0,,,
MAO.N8,Prototype Catgirl,3,NNNNN,Melee,Asset,Human Female Mutant Cat Child,,<u>Permanence</u> (Damage ~ deals permanently reduces the health of the assets which it damages.)٫ <u>Quick Hire</u> (When ~ is hired as a generator٫ it can be utilized as soon as it is hired.)\n[T]: Add [N].\n[2][N][N]٫ [T]: Your commander loses <u>X</u> (X is the number of cards in your hand.) morale. Draw a card.\nWhen ~ dies٫ each player discards a card.,"""Mao 5 has turned out to be quite clever. I have taught her how to take care of her incubating siblings٫ she has taken to the task with vigor."" ~Min's Research Notes",3.0,3.0,,,
MAO.N8b,"""Momma What am I?""",1/ 7 /4,N+,,Effect,<u>Decision</u> <u>Response</u>,,<u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made.)٫ <u>Response</u> (You may deploy ~ during response windows.)\n-> <u>Punish Momma -- [N][+]</u> Choose an asset then activate its on death effects.\n-> <u>Destroy the Lab -- [10][N][N][+]</u> Destroy all assets.\n-> <u>Run Away -- [N][N][N][N][N][N][+]</u> Return a Mutant from your discard٫ that was put there this turn٫ to the battlefield.,,,,,,
MAO.N9,Mao 5٫ Rampaging Monstrosity,2,NNNN,Melee,R. Asset,Human Female Mutant Cat Intern,,(Becomes `Rampager's Fury` if you already control ~.)\n<u>Permanence</u>\nWhenever ~@ attacks she deals 1 damage to each other asset that attacked this turn٫ then choose a commander to lose X (X is the damage dealt this way) morale and gain X <u>Injury</u>.\nWhen ~ dies create a `Test Tube Embryo`.,All Min could do was watch in horror as her baby destroyed her life's work.,4.0,4.0,,,
MAO.N9b,Rampager's Fury,3,NNNNN,,R. Effect,<u>Personal</u> <u>Response</u>,,<u>Response</u> (You may deploy ~ during response windows.)\nEach asset that attacked this turn permanently gains <u>Bleeding</u> (At the end of their owner's turns the specified assets permanently lose 1 health.)\n<u>Personal</u> (Shuffle `Mao 5٫ Rampaging Monstrosity` back into your deck.),,,,,,
MAO.NI1,Shattered Dreams,3/4,2NN+,,Effect,<u>Decision</u> <u>Response</u>,,<u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made.)٫ <u>Response</u> (You may deploy ~ during response windows.)\n-> <u>Calm Mao Down -- [1][I][+]</u> Choose an asset to return to its owner's hand.\n-> <u>End it All -- [1][N][N][+]</u> Each player <u>Forfeits</u> (The specified assets' owners' put them into their discard piles.) the combatant they control with highest <u>Generalized Cost</u> (The cost of the card if all typed energy was replaced with generic symbols.),Min knew she couldn't let Mao escape.,,,,,
MAO.G2,Mao 6,1,1,Melee,R. Asset,Human Male Mutant Cat Child,,(Becomes a blank card if you already control ~.)\n<u>Permanence</u>\n~ gains all effects (including Personal Effect) of the first non Mutant Renowned Asset he sees enter.\nWhen ~ dies shuffle a `Tip` into your deck.,Maybe Mao 5 had a moment of weakness? Maybe she simply missed a spot? Whatever the case٫ one of her infant brothers was found screaming in the woods two days latter.,0.0,1.0,,,
MAO.M1,Morgan The Magic Cat,1,M,Ranged,R. Asset,Virtual Male Cat Magical-Girl,,(Becomes `Min's Dream` if you already control ~.)\n<u>Arial</u> (~ can only be intercepted by assets with ranged or arial. If ~ is intercepting you may choose another adjacent combatant or commander you control٫ that is not also intercepting٫ to take the damage instead.)\n<u>Forfeit</u> ~: Choose a combatant to be returned to the battlefield the next time it would leave this turn.,"""Thank you for saving the city once again Power Kitties!"" ~The Mayor of Kittyopolis",1.0,1.0,,,
MAO.M1b,Min's Dream,3,3MM,,Effect,<u>Personal</u> <u>Response</u> Emotion,0.0,Choose a combatant or commander to until end of turn become a Cat in addition to its other types.\nPrevent the next instance of damage that would be dealt to a Cat you control.\n<u>Personal</u> (Shuffle `Morgan The Magic Cat` back into your deck.),"""Do you think I can be a cute kitty who saves everyone when I grow up daddy?"" ~Min Yisheng",,,,,
MAO.NI2,Shuijing Shuiyu,3,1NNII,Melee,R. Asset,Human Female Investigator,10.0,(Becomes `Nurse the Babe` if you already control ~.)\n<u>Armed -- `PDW`</u> (~ enters with a `PDW` attached.)\nWhenever a Child or Civilian intercepts or <u>Dies</u> (Enters a discard from the battlefield)٫ shuffle a `Tip` into your deck (only create a maximum of one `Tip` during each combat.),"""Does anyone know why this baby has a tail?""",2.0,4.0,,,
MAO.NI2b,Nurse the Babe,0,0,,R. Effect,<u>Personal</u>,0.0,Choose a combatant then <u>Heal it 1</u> (If the specified asset has attack power or health reductions٫ reduce them by 1 [reducing permanent reductions first]. Otherwise remove 1 damage from it.)\n<u>Personal</u> (Shuffle `Shuijing Shuiyu` back into your deck.),"""You like your bottle don't you?""",,,,,
