Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
NMI.V1,BRICS Pilot,4,VVVVVV\nVV,Melee,Asset,Human BRICS Pilot,,<u>Armed -- `Military Grade Pilot Interface`</u> (~ enters with a `Military Grade Pilot Interface` attached.)٫ <u>Armed -- `Ballistic Pistol`</u> (~ enters with a `Ballistic Pistol` attached.)٫ <u>Armor 4</u> (Negate the first 4 damage ~@ would take each turn. When you do permanently reduce ~@'s armor by 1.),,2,2.0,,,
NMI.V2,BRICS Mechanic,2,2VV,Melee,Asset,Human BRICS Mechanic,,<u>Armed -- `Ballistic Pistol`</u> (~ enters with a `Ballistic Pistol` attached.)\n[T]٫ [2][V][V]: Choose an asset you control to have all its ammo restored.,,1,2.0,,,
NMI.V3,Barricade Drone ,4,2VVVVV,Ranged,Asset,BRICS Drone,,<u>Ammo 4</u>٫ <u>Barricade</u> (Intercepting does not exhaust ~.)٫ <u>Remote Controlled</u> (~ is not a combatant. You may choose a Virtual asset you control to utilize. If you do٫ until end of turn٫ ~ becomes a combatant٫ then shuffle a `Psychosis` into your deck.)٫ <u>Armor 4</u> (Negate the first 4 damage ~@ would take each turn. When you do permanently reduce ~@'s armor by 1.)\n~'s attack power is equal to its ammo.,,*,2.0,,,
NMI.V4,Impromptu Reinforcement,2,VVV,,Effect,<u>Response</u>,,<u>Response</u> (You may deploy ~ during response windows.)\nChoose a combatant to٫ until end of turn٫ gain <u>Armor 5</u> (Negate the first 5 damage it would take each turn. When you do permanently reduce it's armor by 1.).,,,,,,
NMI.VO1,Prototype Pseudo-Bipedal Assault Drone,7,9V/OV/OV/OV/OV/O,Ranged,R. Asset,Drone,,(Becomes `Pseudo-Bipedal Cannon` if you already control ~.)\n<u>Ammo 10</u>٫ <u>Inexhaustible</u> (Attacking and intercepting for the first time each turn doesn't utilize ~.)٫ <u>Remote Controlled</u> (~ is not a combatant. You may choose a Virtual asset you control to utilize. If you do٫ until end of turn٫ ~ becomes a combatant٫ then shuffle a `Psychosis` into your deck.)\n~'s attack power is equal to its ammo.,,*,10.0,,,
NMI.VO1b,Pseudo-Bipedal Cannon,1,2,,R. Effect,<u>Personal</u>,0.0,<u>Permanence</u> (Damage that ~ deals is not removed at end of turn.)\nConsume X of `Pseudo-Bipedal Assault Drone`'s Ammo٫ choose a combatant on the frontline to take X damage. Then deal 1 damage to each combatant adjacent to it.\n<u>Personal</u> (Shuffle `Prototype Pseudo-Bipedal Assault Drone` back into your deck.),,,,,,
NMI.GEN1,Namibian Mother Load ,,,,R. Generator,Mine,,(~ can not be utilized for energy.)\nOnce per turn٫ whenever you could reorganize units you may utilize any number of combatants to create X `Saving`s in your hand (X is the number of combatants utilized).,,,,,,
NMI.G1,Battle for the Mother Load,3,6,,R. Asset,<u>Discovery</u>,,(Becomes `Namibian Mother Load` if you already control ~.)\n<u>Discovery</u> (When ~ enters the battlefield or at the beginning of your turn٫ progress to the next phase unless the final phase has been reached.)\n<b><i>1-2)</i></b> Search your deck for a Drone٫ then shuffle٫ and put it on top.\n<b><i>Final)</i></b> Remove all `Namibian Mother Load`s on the battlefield from the game. <u>Forfeit</u> (Put the specified card into your discard pile.) ~.,,,,,,
NMI.G2,Fully Automatic Assault Rifle,4,8,,Asset,Equipment <u>Gun</u>,,<u>Ammo 30</u>٫ <u>Gun</u> (As long as ~ has ammo remaining٫ the attached asset is ranged.)٫ <u>Tradeable</u> (Once each turn while reorganizing units٫ you may pay ~'s cost٫ if you do choose another asset to attach ~ to.)\nWhen ~ enters٫ choose an asset to attach it to.\n3 Ammo: the attached asset can attack twice this turn before being utilized.,,,,,,
NMI.U1,Peace٫ Namibia Resistance Leader,3,UUUUUU,Melee,R. Asset,Human Male Namibia Leader,,(Becomes `For the Greater Good` if you already control ~.)\n<u>Armed -- `Fully Automatic Assault Rifle`</u> (~ enters with a `Fully Automatic Assault Rifle` attached.)٫ <u>Subterfuge</u> (Cards can't be drawn whenever ~@ is attacking.)\nWhenever ~ attacks he permanently gets +1/+0.\n~ is also named `Namibia Resistance Fighter`.,,2,2.0,,,
NMI.U1b,For the Greater Good,3,UUUUUU,,R. Effect,<u>Personal</u>,0.0,Each player <u>Forfeit</u>s (Put the specified cards into their owners' discard pile.) a card on their battlefield.\n<u>Personal</u> (Shuffle `Peace٫ Namibia Resistance Leader` back into your deck.),,,,,,
NMI.UI1,Patji٫ The Namibia Resistance's Only Pilot ,1,UI,Melee,R. Asset,Augmented Human Female Namibia Pilot,,(Becomes `Legless but not Useless` if you already control ~.)\n<u>Armed -- `Full Dive Pod`</u> (~@ enters with a `Full Dive Pod` attached.)٫ <u>Firewall [2]</u> (~@ can't be chosen unless the choosing player pays [2])٫ <u>Subterfuge</u> (Cards can't be drawn whenever ~@ is attacking.)\nWhenever ~ is used to Remote Control٫ until end of turn٫ the Remote Controlled asset gains all of ~@'s keyword abilities.,,0,1.0,,,
NMI.UI1b,Legless but not Useless,2,U/IU/IU/IU/I,,R. Effect,<u>Personal</u> <u>Response</u>,,<u>Response</u> (You may deploy ~ during response windows.)\n<u>Order or Vitality Hack</u> (Choose an Order or Vitality card on the stack٫ send it to its owner's discard pile٫ none of its effects occur.)\n<u>Personal</u> (Shuffle `Patji٫ The Namibia Resistance's Only Pilot ` back into your deck.),,,,,,
NMI.G3,Junkyard UAV ,2,4,Ranged,Asset,Drone,,<u>Remote Controlled</u> (~ is not a combatant. You may choose a Virtual asset you control to utilize. If you do٫ until end of turn٫ ~ becomes a combatant٫ then shuffle a `Psychosis` into your deck.)٫ <u>Flying</u>\nWhenever ~ attacks or intercepts <u>Stun</u> (The next time it would be readied instead it isn't.) it.,,6,1.0,,,
NMI.U2,Namibia Resistance Fighter,2,UUU,Melee,Asset,Human Namibia Soldier,,You may pay [U][U][U][U][+] for ~ to enter with a `Fully Automatic Assault Rifle` attached.\n<i>Strength in Numbers</i> -- Whenever ~ attacks you may choose another combatant (even on the back line) to attack with it٫ until end of turn٫ both combatants get +X/+0 (X is the number of other ~'s that have attacked this turn).,,2,2.0,,,
NMI.G4,Reload ,1,2,,Effect,,,Choose a Gun to restore all its ammo.,,,,,,
NMI.U3,Desert Rat,1,U,Melee,Asset,Human Civilian Child,,<u>Subterfuge</u> (Cards can't be drawn whenever ~@ is attacking.)\nWhenever ~ attacks it permanently gets +1/+0 unless it has attack power 3 or greater.,,1,1.0,,,
NMI.UM1,I'm Sorry I Couldn't Save Her Legs,2,U+,,Effect,<u>Decision</u>,,<u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made.)\n-> <u>Reckless Driving -- [M][M][+]</u> Choose an asset to permanently gain Rush (That asset can attack before it has finished deploying.)\n-> <u>She Was Too Slow -- [2][+]</u> Choose an asset to permanently gain <u>Sluggish</u> (That asset attacks after assets without Sluggish.).\n-> <u>Swear Revenge -- [U][U][+]</u> Choose an asset to permanently gain <u>Brutal</u> (That asset attacks after assets without Brutal.),,,,,,
NMI.U4,Peace and Patji٫ Foreign Exchange Students,2,UUU,Melee,R. Asset,Human Male Female Namibia Student,,"(Becomes `""Peaceful"" Foreign Student Life` if you already control ~@.)\n<u>Subterfuge</u> (Cards can't be drawn whenever ~@ is attacking.)\nWhenever you resolve a Study card shuffle a `Namibia Resistance Fighter` into your deck.",,1,1.0,,,
NMI.U4b,"""Peaceful"" Foreign Student Life",3 / 4,UUU+,,R. Effect,<u>Personal</u> Study,0.0,<u>Decision</u> (You may choose one or more٫ this card's cost is the sum total of its base cost plus all decisions made.)\n-> <u>Study Mechanical Engineering -- [U][U][+]</u> Choose a Mechanical (Vehicles٫ Augmented٫ Drones٫ and Equipment are all Mechanical) asset to permanently get +1/+0.\n-> <u>Study Computer Science -- [I][I][I][I][+]</u> Choose a Virtual card to kill.\n<u>Personal</u> (Shuffle `Peace and Patji٫ Foreign Exchange Students` back into your deck.),,,,,,
NMI.V5,High-Explosive Grenade,2,VVV,,Asset,Grenade Equipment,10.0,When ~ enters the battlefield٫ you may attach it to a combatant.\n<u>Throw</u> (Activate this ability only if attached to a combatant.)٫<u>Forfeit</u> (Put the specified card into its owner's discard.) ~: Choose a combatant on the frontline to return to its owner's hand٫ it permanently looses <u>Armor</u>. ~ deals 2 damage to each combatant adjacent to the chosen combatant.\n<u>Forfeit</u> ~: Add [V][V][V][V][V][V].,,,,,,
