Slot,Name,Minimum Turn Playable,Cost,Melee/Ranged,Type,Subtype,Effectiveness,Rules,Flavor,Attack Power,Health,Image,Artist,Notes
NMI.N4,Manaratan Defector,1.0,N,Melee,Asset,Human Manaratan Pirate,,Whenever an asset you control comes under an opponent’s control٫ your commander loses 1 morale.,,2.0,2.0,,,
NMI.UI1,Patji٫ The Namibia Resistance,1.0,UI,Melee,R. Asset,Augmented Human Female Namibia Pilot,,(Becomes `Legless but not Useless` if you already control ~.)\n<u>Armed -- `Full Dive Pod`</u> (~@ enters with a `Full Dive Pod` attached.)٫ <u>For Namibia!</u> (~ gets +1/+0 until end of turn for each asset with For Namibia! that has attacked this turn.)٫ <u>Subterfuge</u> (Cards can’t be drawn whenever ~@ is attacking.)\nWhenever ~ is used to Remote Control٫ until end of turn٫ the Remote Controlled asset gains all of ~@‘s keyword abilities.,... Since then she has been fighting a one woman war to evict all who occupy her home.,0.0,1.0,,,
NMI.UI1b,Legless but not Useless,2.0,U/IU/IU/I,,R. Effect,<u>Personal</u> <u>Response</u>,0.0,<u>Response</u> (You may deploy ~ during response windows.)\n<u>Entropy ([N]) or Order ([O]) Hack</u> (Choose an Entropy or Order card on the stack٫ send it to its owner’s discard pile٫ none of its effects occur.)\n<u>Personal</u> (Shuffle `Patji٫ The Namibia Resistance` back into your deck.),Patji lost her parents and both her legs when she was very little...,,,,,
NMI.G1,Junkyard UAV,2.0,2,Ranged,Asset,Drone,,<u>Remote Controlled</u> (~ is not a combatant. You may choose a Virtual asset you control to utilize. If you do٫ until end of turn٫ ~ becomes a combatant٫ then shuffle a `Psychosis` into your deck.)٫ <u>Aerial</u>\nWhenever ~ attacks or intercepts <u>Stun</u> (The next time it would be readied instead it isn’t.) it.,... 12 years latter Patji often rued her naive self. But the end result was breathtaking!,6.0,1.0,,,
NMI.Gen2,Namibia Junkyard,,,,Generator,Namibia Desert,,[T]: Add [1].\n[T]٫ Give an opponent ~: Choose a generator for its owner to <u>Forfeit</u> (The card’s owner puts the specified asset into their discard pile.).,“Its can’t be that hard to build a drone”...,,,,,
NMI.G2,Resourceful Hostage,2.0,4,Melee,Asset,Human Civilian Hostage,,<u>Pick a Side -- [4]</u> (You may play [4] as ~ enters to have it enter with your choice of a `Manaratan Exoskeleton`٫ For Namibia!٫ or Brainwashed.)\n<u>Unresponsive</u> (This effect can’t be activated during response windows)٫ Give an opponent ~: Draw 2 cards.,,0.0,2.0,,,
NMI.G3,Exchange Volunteer,2.0,3,Melee,Asset,Human Male Civilian Hostage,,<u>Unresponsive</u> (This effect can’t be activated during response windows)٫ Give an opponent ~: Choose a Female asset that opponent controls to permanently gain control of.,In the constant scuffle innocents are captured every day....,2.0,1.0,,,
NMI.G4,Weeping Mother,2.0,3,Melee,Asset,Human Female Civilian Hostage,,<u>Unresponsive</u> (This effect can’t be activated during response windows)٫ Give an opponent ~: Choose a Male asset that opponent controls to permanently gain control of.,... It’s not uncommon to see a spouse or a parent offering themselves in place of a captured loved on.,1.0,2.0,,,
NMI.G5,Sacrificial Hostage,2.0,3,Melee,Asset,Human Civilian Hostage,,<u>Pick a Side -- [3]</u> (You may play [3] as ~ enters to have it enter with your choice of a `Manaratan Exoskeleton`٫ For Namibia!٫ or Brainwashed.)\nGive an opponent ~: You may choose a card to return to its owner’s hand.,,1.0,1.0,,,
NMI.G6,Backstabbing Hostage,3.0,5,Melee,Asset,Human Civilian Hostage,,<u>Pick a Side -- [1]</u> (You may play [1] as ~ enters to have it enter with your choice of a `Manaratan Exoskeleton`٫ For Namibia!٫ or Brainwashed.)\n<u>Unresponsive</u> (This effect can’t be activated during response windows)٫ Give an opponent ~: Choose a combatant that opponent controls٫ until end of turn٫ it gets -4/-4.,,3.0,1.0,,,
NMI.G7,Lethal Hostage,2.0,3,Melee,Asset,Human Civilian Hostage,,<u>Pick a Side -- [3]</u> (You may play [3] as ~ enters to have it enter with your choice of a `Manaratan Exoskeleton`٫ For Namibia!٫ or Brainwashed.)\n<u>Unresponsive</u> (This effect can’t be activated during response windows)٫ Give an opponent ~: Choose a combatant that opponent controls; it permanently gains <u>Bleeding</u> (At the end of their owner’s turn the specified asset permanently loses 1 health.),,1.0,1.0,,,
NMI.G8,Daring Hostage,3.0,5,Ranged,Asset,Augmented Human Civilian Hostage,,<u>Pick a Side -- [1]</u> (You may play [1] as ~ enters to have it enter with your choice of a `Manaratan Exoskeleton`٫ For Namibia!٫ or Brainwashed.)\n<u>Unresponsive</u> (This effect can’t be activated during response windows)٫ Give an opponent ~: That opponent chooses 2 cards in their hand; Those cards are put into your hand (if they have less than 2 cards in hand٫ instead they give you their hand.),,3.0,4.0,,,
NMI.G9,Hacker Hostage,4.0,4,Melee,Asset,Augmented Civilian Hostage,,<u>Pick a Side -- [1]</u> (You may play [1] as ~ enters to have it enter with your choice of a `Manaratan Exoskeleton`٫ For Namibia!٫ or Brainwashed.)٫ <u>Unfundable</u> (Banked energy can’t be spent to deploy ~. Instead you must exhaust generators as part of its cost.)\n[T]٫ Give an opponent ~: <u>Card Hack</u> (Choose a card on the stack٫ send it to its owner’s discard pile٫ none of its effects occur.),,2.0,2.0,,,
NMI.N5,Occupational Hazards,3.0,4NN,,Asset,Latent Tragedy,,When you draw ~٫ put it into play.\nWhen ~ enters or you gain control of it٫ <u>Forfeit</u> (Put the specified card into its owner’s discard pile.) a combatant you control.,,,,,,
NMI.N6,Hostage Negotiator,5.0,3NN,Melee,Asset,Augmented Civilian,,<u>Unfundable</u> (Banked energy can’t be spent to deploy ~. Instead you must exhaust generators as part of its cost.)\nWhen ~ enters٫ choose an asset you control to give to an opponent.,,1.0,1.0,,,
NMI.G10,Reload,1.0,2,,Effect,,,Choose a Gun to restore all its ammo.,,,,,,
